SITC2,SITC1,weight,group_id
0141,0320,2.3992661796718737e-10,1
0371,0320,1.0,1
0372,0320,1.0,1
0980,0320,1.6126606863757756e-12,1
0583,0533,1.0,1
0980,0533,0.0093900709218158,1
0565,0555,1.0,1
0980,0555,0.0305766054893261,1
0712,0713,0.8300794391791225,1
0712,0990,0.1699205608208775,1
0980,0990,0.8356714147082771,1
0980,2919,5.925989071583568e-11,1
2919,2919,1.0,1
6531,6535,1.0,39
6532,6535,1.0,39
6534,6535,1.0,39
6539,6535,0.3277859797576956,39
6535,6536,1.0,39
6536,6536,1.0,39
6538,6536,1.0,39
6539,6536,0.6722140202423043,39
2873,2833,0.2304851346375349,17
5224,5135,0.9999999999996112,17
2873,5136,0.769514865362465,17
5224,5136,3.887689259216698e-13,17
5225,5136,1.0,17
6571,6551,1.0,42
6596,6551,0.6072253789456658,42
6593,6576,1.0,42
6594,6576,1.0,42
6595,6576,1.0,42
6596,6576,0.3927746210543341,42
2519,2515,0.4205780375992152,10
2519,2519,0.5794219624007846,10
2119,2118,0.1202771063003357,6
2119,2119,0.8797228936996642,6
6412,6412,0.9713521607209188,35
6415,6414,0.0971809092616319,35
6415,6415,0.9028190904863684,35
6412,6417,0.0286478391062054,35
6412,6419,1.7287581791304843e-10,35
6415,6419,2.51999547396002e-10,35
6417,6419,1.0,35
6418,6419,1.0,35
6419,6419,1.0,35
3341,3321,0.9295571099986368,23
3341,3322,0.070442890001363,23
3342,3322,1.0,23
8947,8944,0.9945109146672164,75
8947,8945,0.0054890853327835,75
2871,2831,0.9999999999999936,16
2871,6821,6.406649183235048e-15,16
6821,6821,1.0,16
3231,3215,0.2122096725521072,20
3223,3216,1.0,20
3231,3216,0.7877903274478899,20
3224,3217,1.0,20
3231,3217,2.7915030750915973e-15,20
2479,2424,0.7064677978144264,9
2479,2429,0.2935322021855735,9
7921,7341,1.0,71
7922,7341,1.0,71
7923,7341,1.0,71
7924,7341,1.0,71
7928,7341,7.547194769275555e-09,71
7928,7349,0.2708104648919678,71
7929,7349,1.0,71
7928,8999,0.7291895275608373,71
8999,8999,1.0,71
6782,6729,0.1532805522387757,52
6782,6782,0.8467194477612243,52
2332,2313,0.3778302988470598,7
2332,2314,0.6221697011529401,7
4239,4217,0.999999999999995,27
4239,4229,5.0314294207166295e-15,27
4249,4229,1.0,27
0011,0011,1.0,
0012,0012,1.0,
0013,0013,1.0,
0014,0014,1.0,
0015,0015,1.0,
0019,0019,1.0,
0111,0111,1.0,
0112,0112,1.0,
0113,0113,1.0,
0114,0114,1.0,
0115,0115,1.0,
0116,0116,1.0,
0118,0118,1.0,
0121,0121,1.0,
0129,0129,1.0,
0142,0134,1.0,
0223,0223,1.0,
0230,0230,1.0,
0240,0240,1.0,
0341,0311,1.0,
0342,0311,1.0,
0343,0311,1.0,
0344,0311,1.0,
0350,0312,1.0,
0360,0313,1.0,
0411,0410,1.0,
0412,0410,1.0,
0421,0421,1.0,
0422,0422,1.0,
0430,0430,1.0,
0440,0440,1.0,
0451,0451,1.0,
0452,0452,1.0,
0459,0459,1.0,
0460,0460,1.0,
0470,0470,1.0,
0481,0481,1.0,
0482,0482,1.0,
0483,0483,1.0,
0541,0541,1.0,
0542,0542,1.0,
0544,0544,1.0,
0545,0545,1.0,
0546,0546,1.0,
0548,0548,1.0,
0561,0551,1.0,
0564,0554,1.0,
0571,0511,1.0,
0572,0512,1.0,
0574,0514,1.0,
0577,0517,1.0,
0582,0532,1.0,
0585,0535,1.0,
0586,0536,1.0,
0589,0539,1.0,
0611,0611,1.0,
0612,0612,1.0,
0615,0615,1.0,
0616,0616,1.0,
0619,0619,1.0,
0620,0620,1.0,
0721,0721,1.0,
0722,0722,1.0,
0723,0723,1.0,
0730,0730,1.0,
0741,0741,1.0,
0742,0742,1.0,
0751,0751,1.0,
0752,0752,1.0,
0811,0811,1.0,
0812,0812,1.0,
0813,0813,1.0,
0814,0814,1.0,
0913,0913,1.0,
0914,0914,1.0,
1110,1110,1.0,
1121,1121,1.0,
1122,1122,1.0,
1123,1123,1.0,
1124,1124,1.0,
1211,1210,1.0,
1212,1210,1.0,
1213,1210,1.0,
1221,1221,1.0,
1222,1222,1.0,
